iter	Passed	Remaining
0	435	86725
1	846	83848
2	1269	83340
3	1525	74725
4	1725	67281
5	1987	64266
6	2255	62184
7	2514	60346
8	2766	58703
9	2964	56317
10	3161	54316
11	3427	53697
12	3684	53000
13	3883	51600
14	4099	50556
15	4423	50867
16	4683	50413
17	5002	50576
18	5318	50668
19	5637	50733
20	6026	51369
21	6351	51389
22	6670	51331
23	7039	51619
24	7382	51675
25	7749	51863
26	8122	52042
27	8443	51869
28	8758	51642
29	9149	51847
30	9417	51339
31	9784	51368
32	10045	50837
33	10312	50348
34	10629	50110
35	10879	49560
36	11192	49308
37	11508	49064
38	11714	48358
39	12104	48418
40	12435	48225
41	12746	47951
42	13123	47916
43	13508	47892
44	13895	47860
45	14152	47379
46	14528	47295
47	14865	47074
48	15254	47009
49	15621	46865
50	15945	46586
51	16327	46470
52	16694	46303
53	17077	46173
54	17456	46021
55	17784	45731
56	18166	45574
57	18423	45106
58	18729	44759
59	19101	44569
60	19425	44264
61	19741	43939
62	20113	43739
63	20489	43540
64	20851	43306
65	21224	43091
66	21539	42757
67	21901	42514
68	22158	42068
69	22501	41788
70	22817	41456
71	23080	41032
72	23445	40788
73	23816	40552
74	24200	40333
75	24572	40092
76	24878	39741
77	25206	39426
78	25529	39102
79	25846	38769
80	26168	38444
81	26491	38121
82	26802	37781
83	27175	37527
84	27497	37203
85	27812	36867
86	28197	36624
87	28580	36374
88	28951	36108
89	29347	35868
90	29663	35530
91	29988	35203
92	30364	34935
93	30738	34662
94	31112	34387
95	31492	34116
96	31858	33829
97	32117	33428
98	32501	33157
99	32805	32805
100	33185	32528
101	33499	32185
102	33857	31885
103	34204	31572
104	34576	31283
105	34940	30985
106	35261	30648
107	35570	30301
108	35949	30012
109	36262	29669
110	36582	29331
111	36945	29028
112	37334	28744
113	37703	28443
114	38032	28110
115	38353	27773
116	38685	27443
117	39056	27140
118	39435	26842
119	39795	26530
120	40119	26193
121	40516	25904
122	40824	25556
123	41145	25218
124	41536	24921
125	41853	24580
126	42245	24282
127	42627	23978
128	43013	23673
129	43393	23365
130	43760	23049
131	44157	22747
132	44548	22441
133	44856	22093
134	45241	21783
135	45563	21441
136	45878	21097
137	46215	20763
138	46611	20455
139	46974	20132
140	47339	19808
141	47597	19441
142	47930	19105
143	48313	18788
144	48651	18453
145	49030	18134
146	49354	17794
147	49671	17452
148	49989	17110
149	50354	16784
150	50722	16459
151	51049	16120
152	51364	15778
153	51719	15448
154	51990	15094
155	52387	14776
156	52772	14453
157	53155	14129
158	53427	13776
159	53781	13445
160	54060	13095
161	54453	12773
162	54761	12430
163	55022	12078
164	55413	11754
165	55730	11414
166	55997	11065
167	56398	10742
168	56768	10413
169	57040	10065
170	57427	9739
171	57793	9408
172	58174	9079
173	58544	8748
174	58875	8410
175	59265	8081
176	59575	7741
177	59964	7411
178	60296	7073
179	60610	6734
180	60974	6400
181	61349	6067
182	61728	5734
183	62106	5400
184	62478	5065
185	62842	4730
186	63230	4395
187	63547	4056
188	63913	3719
189	64313	3384
190	64677	3047
191	65055	2710
192	65427	2373
193	65742	2033
194	66104	1694
195	66481	1356
196	66857	1018
197	67235	679
198	67506	339
199	67877	0
