iter	Logloss
0	0.6678829985
1	0.6443456101
2	0.6224330357
3	0.602046627
4	0.5830901538
5	0.5654751984
6	0.5490715526
7	0.5338761781
8	0.5197007999
9	0.5067269035
10	0.4934967448
11	0.482062376
12	0.4705514323
13	0.4613101438
14	0.4512418155
15	0.4419239831
16	0.4332914187
17	0.4263653274
18	0.4199357949
19	0.4126833147
20	0.4057244234
21	0.3995526104
22	0.394640222
23	0.3889947297
24	0.383469308
25	0.377953342
26	0.3740244916
27	0.3690873636
28	0.3651025856
29	0.361015005
30	0.3572546813
31	0.3533646763
32	0.3497229043
33	0.346531684
34	0.3433701017
35	0.3408002852
36	0.3380379464
37	0.3352314608
38	0.3328713108
39	0.3307756386
40	0.3287733445
41	0.3267429315
42	0.3246073909
43	0.3226539249
44	0.3208608011
45	0.3191155134
46	0.3175224454
47	0.3159306176
48	0.3144631076
49	0.3131626674
50	0.311890935
51	0.3105691034
52	0.3092879464
53	0.3081334945
54	0.3070872086
55	0.3059457155
56	0.3048918031
57	0.3040459759
58	0.3031216208
59	0.3021324095
60	0.3013693266
61	0.3005342572
62	0.2997369482
63	0.2989778956
64	0.2981582651
65	0.2974791667
66	0.2967597656
67	0.296093998
68	0.295359344
69	0.2947073103
70	0.2940439298
71	0.2934039869
72	0.2928052145
73	0.2922695623
74	0.2917790489
75	0.2912709263
76	0.2907642919
77	0.2902679191
78	0.289765687
79	0.2893097718
80	0.2888187314
81	0.288390935
82	0.2879587364
83	0.2875494172
84	0.287171627
85	0.2867884115
86	0.2864037698
87	0.2860030072
88	0.2856653336
89	0.2853648934
90	0.2850036892
91	0.2846791295
92	0.2843727369
93	0.2840839224
94	0.2838016803
95	0.2835421937
96	0.2832647259
97	0.2829552331
98	0.2827109685
99	0.2824469866
100	0.2821944134
101	0.2819241071
102	0.2817075893
103	0.2814825459
104	0.2812531932
105	0.2810409536
106	0.2808511285
107	0.2806265191
108	0.2804110863
109	0.2802304377
110	0.2800181672
111	0.279843812
112	0.2796710069
113	0.2794966518
114	0.2793221416
