iter	Accuracy_SumError	Accuracy_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	109821	126000	47903	55552	56433
1	109821	126000	47903	55552	56433
2	109821	126000	47903	55552	56433
3	109821	126000	47903	55552	56433
4	110138	126000	47670	54769	56433
5	110080	126000	47876	55239	56433
6	110101	126000	47776	55018	56433
7	110082	126000	47891	55267	56433
8	110099	126000	47825	55118	56433
9	110266	126000	47752	54805	56433
10	110255	126000	47785	54882	56433
11	110297	126000	47910	55090	56433
12	110315	126000	47978	55208	56433
13	110326	126000	47934	55109	56433
14	110321	126000	47987	55220	56433
15	110352	126000	47947	55109	56433
16	110354	126000	47866	54945	56433
17	110374	126000	47902	54997	56433
18	110380	126000	47894	54975	56433
19	110406	126000	48007	55175	56433
20	110384	126000	47885	54953	56433
21	110432	126000	47970	55075	56433
22	110565	126000	48170	55342	56433
23	110601	126000	48147	55260	56433
24	110583	126000	48106	55196	56433
25	110614	126000	48128	55209	56433
26	110608	126000	48142	55243	56433
27	110673	126000	48268	55430	56433
28	110721	126000	48296	55438	56433
29	110722	126000	48287	55419	56433
30	110747	126000	48282	55384	56433
31	110760	126000	48315	55437	56433
32	110794	126000	48315	55403	56433
33	110814	126000	48286	55325	56433
34	110810	126000	48277	55311	56433
35	110856	126000	48363	55437	56433
36	110865	126000	48352	55406	56433
37	110878	126000	48391	55471	56433
38	110884	126000	48335	55353	56433
39	110894	126000	48374	55421	56433
40	110896	126000	48341	55353	56433
41	110915	126000	48338	55328	56433
42	110916	126000	48362	55375	56433
43	110959	126000	48405	55418	56433
44	110965	126000	48362	55326	56433
45	111009	126000	48394	55346	56433
46	111015	126000	48381	55314	56433
47	111019	126000	48393	55334	56433
48	111028	126000	48411	55361	56433
49	111042	126000	48431	55387	56433
50	111046	126000	48450	55421	56433
51	111047	126000	48422	55364	56433
52	111072	126000	48441	55377	56433
53	111083	126000	48480	55444	56433
54	111143	126000	48494	55412	56433
55	111178	126000	48476	55341	56433
56	111187	126000	48489	55358	56433
57	111222	126000	48482	55309	56433
58	111263	126000	48440	55184	56433
59	111270	126000	48444	55185	56433
60	111294	126000	48405	55083	56433
61	111300	126000	48450	55167	56433
62	111308	126000	48431	55121	56433
63	111341	126000	48479	55184	56433
64	111362	126000	48512	55229	56433
65	111351	126000	48472	55160	56433
66	111350	126000	48497	55211	56433
67	111364	126000	48524	55251	56433
68	111364	126000	48512	55227	56433
69	111387	126000	48545	55270	56433
70	111405	126000	48561	55284	56433
71	111409	126000	48565	55288	56433
72	111407	126000	48563	55286	56433
73	111413	126000	48565	55284	56433
74	111427	126000	48551	55242	56433
75	111453	126000	48579	55272	56433
76	111468	126000	48595	55289	56433
77	111471	126000	48590	55276	56433
78	111477	126000	48608	55306	56433
79	111487	126000	48589	55258	56433
80	111475	126000	48572	55236	56433
81	111492	126000	48601	55277	56433
82	111493	126000	48595	55264	56433
83	111492	126000	48610	55295	56433
84	111503	126000	48608	55280	56433
85	111511	126000	48625	55306	56433
86	111534	126000	48616	55265	56433
87	111539	126000	48635	55298	56433
88	111548	126000	48618	55255	56433
89	111564	126000	48633	55269	56433
90	111572	126000	48633	55261	56433
91	111575	126000	48609	55210	56433
92	111578	126000	48648	55285	56433
93	111592	126000	48662	55299	56433
94	111607	126000	48651	55262	56433
95	111617	126000	48691	55332	56433
96	111624	126000	48653	55249	56433
97	111632	126000	48638	55211	56433
98	111633	126000	48632	55198	56433
99	111631	126000	48650	55236	56433
100	111629	126000	48638	55214	56433
101	111635	126000	48647	55226	56433
102	111640	126000	48648	55223	56433
103	111648	126000	48638	55195	56433
104	111657	126000	48641	55192	56433
105	111655	126000	48639	55190	56433
106	111660	126000	48643	55193	56433
107	111663	126000	48651	55206	56433
108	111665	126000	48653	55208	56433
109	111668	126000	48648	55195	56433
110	111664	126000	48651	55205	56433
111	111667	126000	48659	55218	56433
112	111672	126000	48657	55209	56433
113	111676	126000	48658	55207	56433
114	111680	126000	48650	55187	56433
115	111679	126000	48654	55196	56433
116	111680	126000	48656	55199	56433
117	111681	126000	48661	55208	56433
118	111680	126000	48658	55203	56433
119	111688	126000	48664	55207	56433
120	111685	126000	48661	55204	56433
121	111687	126000	48670	55220	56433
122	111681	126000	48669	55224	56433
123	111682	126000	48674	55233	56433
124	111681	126000	48674	55234	56433
125	111683	126000	48676	55236	56433
126	111686	126000	48673	55227	56433
127	111692	126000	48683	55241	56433
128	111700	126000	48681	55229	56433
129	111685	126000	48676	55234	56433
130	111699	126000	48685	55238	56433
131	111713	126000	48691	55236	56433
132	111705	126000	48696	55254	56433
133	111698	126000	48688	55245	56433
134	111704	126000	48680	55223	56433
135	111708	126000	48696	55251	56433
136	111709	126000	48687	55232	56433
137	111703	126000	48684	55232	56433
138	111705	126000	48678	55218	56433
139	111705	126000	48680	55222	56433
140	111700	126000	48683	55233	56433
141	111710	126000	48690	55237	56433
142	111705	126000	48697	55256	56433
143	111717	126000	48697	55244	56433
144	111724	126000	48709	55261	56433
145	111726	126000	48707	55255	56433
146	111738	126000	48721	55271	56433
147	111733	126000	48712	55258	56433
148	111739	126000	48719	55266	56433
149	111746	126000	48721	55263	56433
150	111734	126000	48709	55251	56433
151	111745	126000	48719	55260	56433
152	111738	126000	48716	55261	56433
153	111743	126000	48723	55270	56433
154	111742	126000	48720	55265	56433
155	111749	126000	48721	55260	56433
156	111749	126000	48724	55266	56433
157	111752	126000	48733	55281	56433
158	111742	126000	48729	55283	56433
159	111748	126000	48728	55275	56433
160	111749	126000	48731	55280	56433
161	111756	126000	48732	55275	56433
162	111763	126000	48733	55270	56433
163	111765	126000	48736	55274	56433
164	111765	126000	48742	55286	56433
165	111768	126000	48741	55281	56433
166	111771	126000	48745	55286	56433
167	111769	126000	48745	55288	56433
168	111767	126000	48745	55290	56433
169	111763	126000	48744	55292	56433
