iter	Passed	Remaining
0	290	579998
1	339	338842
2	387	258003
3	437	218482
4	483	192840
5	532	177038
6	578	164726
7	623	155214
8	671	148450
9	717	142689
10	763	137984
11	808	133988
12	854	130629
13	906	128573
14	952	126008
15	997	123673
16	1046	122089
17	1094	120514
18	1141	118977
19	1187	117535
20	1236	116545
21	1285	115562
22	1330	114402
23	1380	113651
24	1425	112612
25	1471	111710
26	1518	110948
27	1564	110180
28	1611	109498
29	1658	108903
30	1705	108298
31	1751	107714
32	1798	107192
33	1844	106684
34	1891	106217
35	1934	105540
36	1979	105019
37	2027	104691
38	2074	104287
39	2119	103872
40	2161	103297
41	2207	102930
42	2255	102654
43	2302	102377
44	2349	102052
45	2396	101778
46	2442	101507
47	2483	101008
48	2525	100542
49	2566	100109
50	2607	99664
51	2651	99334
52	2695	99023
53	2742	98843
54	2790	98664
55	2832	98333
56	2877	98087
57	2924	97908
58	2986	98239
59	3032	98036
60	3076	97791
61	3121	97577
62	3163	97268
63	3208	97045
64	3257	96961
65	3304	96835
66	3349	96641
67	3394	96441
68	3441	96318
69	3486	96132
70	3533	96010
71	3579	95862
72	3625	95704
73	3673	95603
74	3715	95352
75	3757	95118
76	3803	94991
77	3852	94918
78	3896	94750
79	3942	94629
80	3991	94559
81	4038	94451
82	4085	94358
83	4130	94217
84	4177	94115
85	4225	94035
86	4275	94013
87	4321	93894
88	4367	93780
89	4413	93660
90	4461	93595
91	4508	93501
92	4554	93388
93	4603	93334
94	4650	93245
95	4696	93145
96	4743	93054
97	4789	92946
98	4836	92861
99	4886	92839
100	4932	92749
101	4979	92655
102	5023	92526
103	5073	92500
104	5120	92413
105	5167	92324
106	5217	92308
107	5269	92316
108	5320	92296
109	5368	92233
110	5414	92150
111	5461	92073
112	5502	91886
113	5552	91852
114	5598	91769
115	5648	91736
116	5694	91643
117	5741	91576
118	5792	91557
119	5842	91527
120	5888	91436
121	5930	91294
122	5977	91222
123	6028	91202
124	6079	91190
125	6127	91126
126	6172	91036
127	6228	91089
128	6277	91045
129	6324	90976
130	6376	90980
131	6423	90897
132	6470	90824
133	6511	90677
134	6563	90674
135	6614	90655
136	6659	90553
137	6710	90542
138	6763	90548
139	6811	90496
140	6858	90419
141	6903	90333
142	6954	90317
143	7006	90311
144	7056	90272
145	7099	90149
146	7154	90185
147	7199	90087
148	7252	90092
149	7303	90080
150	7354	90057
151	7408	90071
152	7451	89949
153	7504	89957
154	7556	89946
155	7611	89968
156	7661	89931
157	7709	89880
158	7758	89834
159	7804	89754
160	7854	89716
161	7901	89643
162	7948	89576
163	7994	89495
164	8042	89447
165	8095	89439
166	8144	89397
167	8195	89368
168	8250	89389
169	8303	89387
170	8355	89373
171	8403	89309
172	8452	89261
173	8510	89309
174	8552	89191
175	8604	89176
176	8654	89140
177	8706	89123
178	8760	89119
179	8810	89087
180	8856	89006
181	8908	88983
182	8963	88993
183	9018	89010
184	9067	88957
